Date,Agency,Category,Information,Link
21. July 2025,European Medicines Agency,Guidance,Guide to information on human medicines evaluated by EMA,https://www.linkedin.com/feed/update/urn:li:activity:7351304156592185344?
21. July 2025,"Health Products Regulatory Authority (HPRA), Ireland",Statement,(CAMD) release consensus statement - reform of EU regulatory Medical Devices,https://www.linkedin.com/feed/update/urn:li:activity:7350780436907761665?
21. July 2025,Medicines and Healthcare products Regulatory Agency,Form,Medicines: application forms for a manufacturer licence,https://www.linkedin.com/feed/update/urn:li:activity:7350780818396483584?
21. July 2025,Medicines and Healthcare products Regulatory Agency,Form,Medicines: variation forms for a manufacturer's licence,https://www.linkedin.com/feed/update/urn:li:activity:7350781181304422437?
21. July 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Clinical investigations for medical devices,https://www.linkedin.com/feed/update/urn:li:activity:7351200033129603072? 
21. July 2025,Medicines and Healthcare products Regulatory Agency,Directive,The Alternative Provider Medical Services (Amendment) Directions 2025,https://www.linkedin.com/feed/update/urn:li:activity:7351531942296580096?
21. July 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Use of real-world data in clinical studies to support regulatory decisions,
21. July 2025,"NMPA-National Medical Products Administration, Peoples Republic of China",Guidance,Classification & Definition of Medical Devices for Myopia & Amblyopia Treatment,https://www.linkedin.com/feed/update/urn:li:activity:7351503976871198722?
21. July 2025,Pharmaceutical Inspection Co-operation Scheme PIC/S,Guidance,Draft guidelines: Revised Chapter 4 - Documentation,
21. July 2025,Pharmaceutical Inspection Co-operation Scheme PIC/S,Guidance,Draft guidelines: Revised Annex 11 - Computerised systems,
21. July 2025,Pharmaceutical Inspection Co-operation Scheme PIC/S,Guidance,Draft guidelines: New annex 22 - Artificial intelligence,
21. July 2025,South African Health Products Regulatory Authority,Guidance,SAHPRA Engagement Portal Launch Update,https://www.linkedin.com/feed/update/urn:li:activity:7350781751713046530?
21. July 2025,South African Health Products Regulatory Authority,Guidance,Contact Details for Adverse Events Reporting for License Holders,https://www.linkedin.com/feed/update/urn:li:activity:7351506226318303236?
21. July 2025,Swissmedic,Form,Swissmedic Forms for July 2025,
21. July 2025,Swissmedic,Guidance,Export Certificates,
21. July 2025,"Team Notified Body, Europe",Position Paper,Orphan In-vitro diagnostics medical devices,https://www.linkedin.com/feed/update/urn:li:activity:7351843841714397184?
21. July 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Complying with changes to the Permissible Ingredients Determination,https://www.linkedin.com/feed/update/urn:li:activity:7351508758008635392?
21. July 2025,USA Food & Drug Administration FDA,Guidance,Recommendations for Testing Blood Donations for Hepatitis B Surface Antigen,https://www.linkedin.com/feed/update/urn:li:activity:7350951872469385217?
21. July 2025,USA Food & Drug Administration FDA,Guidance,Development of Cancer Drugs for Use in Novel Combination,https://www.linkedin.com/feed/update/urn:li:activity:7351511335723048960?
21. July 2025,USA Food & Drug Administration FDA,Guidance,Meetings Between the FDA and Sponsors or Applicants of BsUFA Products,https://www.linkedin.com/feed/update/urn:li:activity:7352264409135685633?
21. July 2025,USA Food & Drug Administration FDA,Guidance,E21 Inclusion of Pregnant and Breastfeeding Women in Clinical Trials,https://www.linkedin.com/feed/update/urn:li:activity:7352265398861398017?
20. July 2025,MedTech Leading Voice,Newsletter,FDA-Authorized AI-Enabled Medical Devices: An Updated Report,https://www.linkedin.com/feed/update/urn:li:activity:7352932228890271744?
19. July 2025,MedTech Leading Voice,Video,The QA/RA Week That Was 19. July 2025,https://www.linkedin.com/feed/update/urn:li:activity:7352283767413043200?
19. July 2025,USA Food & Drug Administration FDA,Guidance,Formal Meetings Between the FDA and Sponsors or Applicants of BsUFA Products,https://www.linkedin.com/feed/update/urn:li:activity:7352264409135685633?
19. July 2025,USA Food & Drug Administration FDA,Guidance,E21 Inclusion of Pregnant and Breastfeeding Women in Clinical Trials,https://www.linkedin.com/feed/update/urn:li:activity:7352265398861398017?
18. July 2025,MedTech Leading Voice,Video,Preview Regulatory Roundup Monday 21. July 2025,https://www.linkedin.com/feed/update/urn:li:activity:7351957369427267585?
18. July 2025,"Team Notified Body, Europe",Position Paper,Orphan In-vitro diagnostics medical devices,https://www.linkedin.com/feed/update/urn:li:activity:7351843841714397184?
17. July 2025,MedTech Leading Voice,Guidance,Five Ways IoT Will Blow Up Your Cybersecurity Budget,https://www.linkedin.com/feed/update/urn:li:activity:7351638370332090368?
17. July 2025,Scilife,Guidance,How AI can help with FMEAs,https://www.linkedin.com/feed/update/urn:li:activity:7351638370332090368? 
17. July 2025,Medicines and Healthcare products Regulatory Agency,Directive,The Alternative Provider Medical Services (APMS) Directions Ammendment 2025,https://www.linkedin.com/feed/update/urn:li:activity:7351531942296580096?
17. July 2025,USA Food & Drug Administration FDA,Guidance,Development of Cancer Drugs for Use in Novel Combination - Determining the Contribution of the Individual Drugsâ€™ Effects,https://www.linkedin.com/feed/update/urn:li:activity:7351511335723048960?
17. July 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Complying with changes to the Permissible Ingredients Determination,https://www.linkedin.com/feed/update/urn:li:activity:7351508758008635392?
17. July 2025,South African Health Products Regulatory Authority,Guidance,Contact Details for Guideline SAHPGL-MD-03 Medical Device Vigilance: Adverse Events Reporting for License Holders,https://www.linkedin.com/feed/update/urn:li:activity:7351506226318303236?
17. July 2025,"NMPA-National Medical Products Administration, Peoples Republic of China",Guidance,Notice of the State Food and Drug Administration on Issuing the Guiding Principles for the Classification and Definition of Medical Devices for Myopia Control and Amblyopia Treatment with Light Sources (No. 25 [2025]),https://www.linkedin.com/feed/update/urn:li:activity:7351503976871198722?
16. July 2025,European Medicines Agency,Guidance,Guide to information on human medicines evaluated by EMA,https://www.linkedin.com/feed/update/urn:li:activity:7351304156592185344?
16. July 2025,BSI Medical Devices,Guidance,Navigating the complexities of Article 117 of the MDR,https://www.linkedin.com/posts/bsi-medical-devices_bsi-medical-devices-article-117-activity-7350894456688050177-IZX1?
16. July 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Clinical investigations for medical devices,https://www.linkedin.com/feed/update/urn:li:activity:7351200033129603072? 
16. July 2025,European Medicines Agency,Guidance,Checklist for the submission of product information annexes and Annex A (if applicable) for minor procedures without linguistic review,https://www.linkedin.com/feed/update/urn:li:activity:7351131800628342787?
16. July 2025,European Medicines Agency,Guidance,Post-authorisation Procedural Advice for Users of the Centralised Procedure,https://www.linkedin.com/feed/update/urn:li:activity:7351127770111893505?
16. July 2025,European Medicines Agency,Guidance,Pre-authorisation Procedural Advice for Users of the Centralised Procedure,https://www.linkedin.com/feed/update/urn:li:activity:7351120024155095040?
15. July 2025,USA Food & Drug Administration FDA,Guidance,Recommendations for Testing Blood Donations for Hepatitis B Surface Antigen,https://www.linkedin.com/feed/update/urn:li:activity:7350951872469385217?
15. July 2025,ANVISA Brazil,Consultation,Anvisa invites the pharmaceutical sector to participate in international public consultation on Good Manufacturing Practices,https://www.linkedin.com/feed/update/urn:li:activity:7350778486334070784?
15. July 2025,ANVISA Brazil,Consultation,Call notice receives contributions to the proposal of the ICH Guide M4Q(R2),https://www.linkedin.com/feed/update/urn:li:activity:7350779684369981440?
15. July 2025,European Medicines Agency,Guidance,IRIS guide for applicants,https://www.linkedin.com/feed/update/urn:li:activity:7350780077418127360?
15. July 2025,"Health Products Regulatory Authority (HPRA), Ireland",Statement,Heads of Competent Authorities for Medical Devices(CAMD) release consensus statement on reform of the EU regulatory framework for medical devices,https://www.linkedin.com/feed/update/urn:li:activity:7350780436907761665?
15. July 2025,Medicines and Healthcare products Regulatory Agency,Forms,Medicines: application forms for a manufacturer licence,https://www.linkedin.com/feed/update/urn:li:activity:7350780818396483584?
15. July 2025,Medicines and Healthcare products Regulatory Agency,Forms,Medicines: variation forms for a manufacturer's licence,https://www.linkedin.com/feed/update/urn:li:activity:7350781181304422437?
15. July 2025,South African Health Products Regulatory Authority,Guidance,SAHPRA Engagement Portal-Launch Update,https://www.linkedin.com/feed/update/urn:li:activity:7350781751713046530?
14. July 2025,ANVISA Brazil,Guidance,Anvisa's evaluation maintains PMMA for indications already approved,
14. July 2025,ANVISA Brazil,Guidance,Unique Medical Device Identification: next steps for implementation,
14. July 2025,Egyptian Drug Authority,Guidance,Post-Trial Access in Clinical Medical Research,
14. July 2025,European Commission,Consultation,"EudraLex Volume 4  GMP Guidelines: Chapter 4, Annex 11 & New Annex 22",https://www.linkedin.com/feed/update/urn:li:activity:7348404654629634048?
14. July 2025,European Commission,Decision,Decision (EU) 2025/1324 (expert panel on paediatrics and rare diseases),https://www.linkedin.com/feed/update/urn:li:activity:7348711253051117568?
14. July 2025,European Commission,Presentations,EU health technology assessment: Advent of a new era of collaboration,
14. July 2025,European Commission,Position Paper,"Master UDI-DI to contact lenses, spectacle frames, spectacle lenses",https://www.linkedin.com/feed/update/urn:li:activity:7349313820982407168?
14. July 2025,European Directorate for the Quality of Medicines & HealthCare,Report,Certification monthly report of activities: End of June 2025,
14. July 2025,European Medicines Agency,Guidance,Clinical Trials Information System (CTIS): online training modules for authorities,https://www.linkedin.com/feed/update/urn:li:activity:7348705653474881538?
14. July 2025,European Medicines Agency,Guidance,Q&A about the clinical study data proof-of-concept pilot for industry,https://www.linkedin.com/feed/update/urn:li:activity:7348302899405332485?
14. July 2025,European Medicines Agency,Report,Review of AI/ML applications in medicines lifecycle (2024),
14. July 2025,European Medicines Agency,Report,2024 AI Observatory Report,https://www.linkedin.com/feed/update/urn:li:activity:7349369134134046723?
14. July 2025,European Medicines Agency,Report,2024 AI Observatory report: Compilation of 2024 experience,https://www.linkedin.com/feed/update/urn:li:activity:7349380968878682112?
14. July 2025,European Medicines Agency,Meeting,Pharmacovigilance Risk Assessment Committee (PRAC) 7 - 10 July 2025,https://www.linkedin.com/feed/update/urn:li:activity:7349393339156193280?
14. July 2025,ISO (International Organization for Standardization),Standards,ISO Update June 1. 2025 to July 1. 2025,https://www.linkedin.com/feed/update/urn:li:activity:7347867058375712768?
14. July 2025,International Council for Harmonisation,Guidance,ICH Q2(R2)/Q14 IWG Training Materials,https://www.linkedin.com/feed/update/urn:li:activity:7348749166329643008?
14. July 2025,International Council for Harmonisation,Presentation,ICH E20: Adaptive Designs for Clinical Trials,
14. July 2025,"Health Sciences Authority (HSA), Singapore",Guidance,GN-21 Guidance on Change Notification for Registered Medical Devices Rev 6.,
14. July 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Medical devices: UK approved bodies,
14. July 2025,Medicines and Healthcare products Regulatory Agency,Consultation,Guideline on the Inclusion of Pregnant and Breast-feeding Individuals,
14. July 2025,Swissmedic,Form,Swissmedic Forms for July 2025,
14. July 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Update to monograph requirements for listed probiotic medicines,
14. July 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,GMP Clearance: backlog reduction strategy progress update,
14. July 2025,USA Food & Drug Administration FDA,Update,Augmented Reality and Virtual Reality in Medical Devices,
14. July 2025,USA Food & Drug Administration FDA,Project,Bayesian Statistical Analysis (BSA) Demonstration Project,
14. July 2025,World Health Organisation WHO,Guidance,WHO certification scheme on the quality of pharmaceutical products,https://www.linkedin.com/feed/update/urn:li:activity:7349741929128968193?
14. July 2025,World Health Organisation WHO,Guidance,Mapping the application of artificial intelligence in traditional medicine,https://www.linkedin.com/feed/update/urn:li:activity:7349504908464717825?
14. July 2025,MedTech Leading Voice,Roundup,Regulatory Roundup Monday 14. July 2025,https://www.linkedin.com/feed/update/urn:li:activity:7350479222903111682?
13. July 2025,MedTech Leading Voice,Newsletter,UK MDR Update: How MedTech Firms Can Get Ready in 2025,https://www.linkedin.com/feed/update/urn:li:activity:7350387719388184577?
13. July 2025,MedTech Leading Voice,Video,The QA/RA Week That Was 13. July 2025,https://www.linkedin.com/feed/update/urn:li:activity:7350118232910925825?
12. July 2025,MedTech Leading Voice,Video,Preview Regulatory Roundup Monday 14. July 2025,https://www.linkedin.com/feed/update/urn:li:activity:7349741929128968193?
11. July 2025,World Health Organisation WHO,Guidance,Mapping the application of artificial intelligence in traditional medicine,https://www.linkedin.com/feed/update/urn:li:activity:7349504908464717825?
11. July 2025,World Health Organisation WHO,Guidance,WHO certification scheme on the quality of pharmaceutical products,https://www.linkedin.com/feed/update/urn:li:activity:7349328310683811840?
11. July 2026,MDCG,Position Paper,"MDCG 2025-7 MDCG Position Paper: Timelines of the implementation of  Master UDI-DI  to contact lenses and spectacle frames, spectacle lenses and ready-to-wear reading spectacles",https://www.linkedin.com/feed/update/urn:li:activity:7349313820982407168?
11. July 2026,European Medicines Agency,Report,2024 AI Observatory report,https://www.linkedin.com/feed/update/urn:li:activity:7349369134134046723?
11. July 2026,European Medicines Agency,Report,2024 AI Observatory report: Compilation of 2024 experience,https://www.linkedin.com/feed/update/urn:li:activity:7349380968878682112?
11. July 2026,European Medicines Agency,Meeting,Meeting highlights from the Pharmacovigilance Risk Assessment Committee (PRAC) 7   10 July 2025,https://www.linkedin.com/feed/update/urn:li:activity:7349393339156193280?
10. July 2025,MedTech Leading Voice,Guidance,How to Use GPT AI to assist with writing User Needs,https://www.linkedin.com/feed/update/urn:li:activity:7348954223222423552?
9. July 2025,International Council for Harmonisation,Guidance,ICH Q2(R2)/Q14 IWG Training Materials,https://www.linkedin.com/feed/update/urn:li:activity:7348749166329643008?
9. July 2025,European Medicines Agency,Guidance,Clinical Trials Information System (CTIS): online training modules for authorities,https://www.linkedin.com/feed/update/urn:li:activity:7348705653474881538?
9. July 2025,European Commission,Decision,COMMISSION IMPLEMENTING DECISION (EU) 2025/1324 (Expert Panel on Paediatrics and Rare Diseases),https://www.linkedin.com/feed/update/urn:li:activity:7348705653474881538?
8. July 2025,European Commission,Consultation,"EudraLex Volume 4-Good Manufacturing Practice Guidelines: Chapter 4, Annex 11 and New Annex 22",https://www.linkedin.com/feed/update/urn:li:activity:7348404654629634048?
8. July 2025,MedTech Leading Voice,Roundup,Regulatory Roundup May - June 2025,https://www.linkedin.com/feed/update/urn:li:activity:7348377531437264897?
8. July 2025,European Directorate for the Quality of Medicines & HealthCare EDQM,Report,Certification Monthly Report June 2025,https://www.linkedin.com/feed/update/urn:li:activity:7348304472613281792?
8. July 2025,European Medicines Agency,Guidance,Questions and Answers about the clinical study data proof-of-concept pilot for industry,https://www.linkedin.com/feed/update/urn:li:activity:7348302899405332485?
7. July 2025,MedTech Leading Voice,Roundup,Regulatory Roundup Monday 7. July 2025,https://www.linkedin.com/feed/update/urn:li:activity:7347942530807738369?
7. July 2025,Council for International Organizations of Medical Sciences,Guidance,Version 2.3 of the CIOMS cumulative glossary with a focus on pharmacovigilance,
7. July 2025,European Commission,Guidance,EUDAMED Production Release 2.15.0,https://www.linkedin.com/feed/update/urn:li:activity:7345365726276251648?  
7. July 2025,European Directorate for the Quality of Medicines & HealthCare EDQM,Guidance,Pharmeuropa 37.3 just released,https://www.linkedin.com/feed/update/urn:li:activity:7346082914004086784?
7. July 2025,European Medicines Agency,Report,Real-world evidence framework to support EU regulatory decision-making,https://www.linkedin.com/feed/update/urn:li:activity:7345718149930991616?
7. July 2025,European Medicines Agency,Information Sheet,Review of real-world data studies,https://www.linkedin.com/feed/update/urn:li:activity:7345719177002803202? 
7. July 2025,European Medicines Agency,Guidance,ICH E20 Adaptive Designs for Clinical Trials,https://www.linkedin.com/feed/update/urn:li:activity:7345719652443971584?
7. July 2025,European Medicines Agency,Regulation,Regulation (EC) No 1234/2008 as amended ('The Variations Regulation'),https://www.linkedin.com/feed/update/urn:li:activity:7345720242301509632?
7. July 2025,European Medicines Agency,Form,Declaration Enterprise as a Micro Small or Medium-sized Enterprise (SME),
7. July 2025,Health Canada,Guidance,Summary of ICH Guidelines Health Canada (June 2025) Implemented,
7. July 2025,"Health Products Regulatory Authority (HPRA), Ireland",Guidance,Reporting Serious Adverse Reactions and Serious Adverse Events Associated with Human Tissues and Cells,https://www.linkedin.com/feed/update/urn:li:activity:7346547851847499776?
7. July 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Types of application for marketing authorisations (legal basis of applications),
7. July 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Standardised format for the periodic safety update report,https://www.linkedin.com/feed/update/urn:li:activity:7346495265656233985?
7. July 2025,"NMPA-National Medical Products Administration, Peoples Republic of China",Guidance,Medical Device Industry Standard Information Sheet,https://www.linkedin.com/feed/update/urn:li:activity:7345720965512790018?
7. July 2025,Swissmedic,Form,Swissmedic Forms for July 2025,
7. July 2025,Swissmedic,Guidance,Injectable products for wrinkle treatment,
7. July 2025,Swissmedic,Guidance,Products without an intended medical purpose,
7. July 2025,Swissmedic,Guidance,Safety Reporting in clinical trials,
7. July 2025,Swissmedic,Guidance,Requirements for the return of medicinal products,
7. July 2025,Swissmedic,Guidance,DHPC HMP,
7. July 2025,Swissmedic,Guidance,RMP ICH E2E information submission HMP,
7. July 2025,Swissmedic,Guidance,"Homeopathics, anthroposophics & complementary medicinal products",
7. July 2025,Swissmedic,Guidance,Transfer of marketing authorisation,
7. July 2025,South African Health Products Regulatory Authority,Guidance,Variations Communication,https://www.linkedin.com/feed/update/urn:li:activity:7346434232405180420?
7. July 2025,"Team Notified Body, Europe",Guidance,Software classification under the IVDR V2,https://www.linkedin.com/feed/update/urn:li:activity:7345329303665930240? 
7. July 2025,"Team Notified Body, Europe",Guidance,Code of Conduct for Notified Bodies under Regulations (EU) 2017/745 and (EU) 2017/746,https://www.linkedin.com/feed/update/urn:li:activity:7345371736739078146?
7. July 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Preparing for Good Clinical Practice (GCP) inspections,https://www.linkedin.com/feed/update/urn:li:activity:7346084081207533570?
7. July 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Changing the sponsor of a therapeutic good,https://www.linkedin.com/feed/update/urn:li:activity:7346083577765261313?
7. July 2025,USA Food & Drug Administration FDA,Guidance,Myelodysplastic Syndromes: Developing Drug and Biological Products for Treatment,https://www.linkedin.com/feed/update/urn:li:activity:7346421367736573952?
7. July 2025,USA Food & Drug Administration FDA,Guidance,Small Volume Parenteral Drug Products and Pharmacy Bulk Packages for Parenteral Nutrition: Aluminum Content and Labeling,https://www.linkedin.com/feed/update/urn:li:activity:7346415743980232704?
 7. July 2025,ISO (International Organization for Standardization),Standards,ISO Update June 1. 2025 to July 1. 2025,https://www.linkedin.com/feed/update/urn:li:activity:7347867058375712768?
 7. July 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Medical devices: UK approved bodies,https://www.linkedin.com/feed/update/urn:li:activity:7347914477750697984?
 7. July 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Updated 'medical devices exempt from PFAS ban' to include other therapeutic goods,https://www.linkedin.com/feed/update/urn:li:activity:7347916496490119168?
 7. July 2025,"Health Sciences Authority (HSA), Singapore",Guidance,GN-21 Guidance on Change Notification for Registered Medical Devices Rev 6.,https://www.linkedin.com/feed/update/urn:li:activity:7347915438732787714? 
 7. July 2025,MedTech Leading Voice,Newsletter,Medical Literature Review Guide,https://www.linkedin.com/feed/update/urn:li:activity:7347851869278420992?
5. July 2025,MedTech Leading Voice,Video,The QA/RA Week That Was 5. July 2025,https://www.linkedin.com/feed/update/urn:li:activity:7347227981137764353?
4. July 2025,MedTech Leading Voice,Video,Preview Regulatory Roundup Monday 7. July 2025,https://www.linkedin.com/feed/update/urn:li:activity:7346779897538723840? 
3. July 2025,"Health Products Regulatory Authority (HPRA), Ireland",Guidance,Reporting Serious Adverse Reactions and Serious Adverse Events Associated with Human Tissues and Cells,https://www.linkedin.com/feed/update/urn:li:activity:7346547851847499776?
3. July 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Standardised format for the periodic safety update report,https://www.linkedin.com/feed/update/urn:li:activity:7346495265656233985?
3. July 2025,South African Health Products Regulatory Authority,Guidance,Variations Communication,https://www.linkedin.com/feed/update/urn:li:activity:7346434232405180420?
3. July 2025,MedTech Leading Voice,Prompt-Sheet,How to Rebuild your Linkedin Profile,https://www.linkedin.com/feed/update/urn:li:activity:7346419002497282048? 
3. July 2025,USA Food & Drug Administration FDA,Guidance,Myelodysplastic Syndromes: Developing Drug and Biological Products for Treatment,https://www.linkedin.com/feed/update/urn:li:activity:7346421367736573952?
3. July 2025,USA Food & Drug Administration FDA,Guidance,Small Volume Parenteral Drug Products and Pharmacy Bulk Packages for Parenteral Nutrition: Aluminum Content and Labeling,https://www.linkedin.com/feed/update/urn:li:activity:7346415743980232704?
2. July 2025,MedTech Leading Voice,Video,The QA/RA Month That Was: June 2025,https://www.linkedin.com/feed/update/urn:li:activity:7346178552775532544?
2. July 2025,MedTech Leading Voice,Flipbook,A brief guide to user needs,https://www.linkedin.com/feed/update/urn:li:activity:7346086377177931777?
2. July 2025,MedTech Leading Voice,Video,A brief guide to user needs,https://www.linkedin.com/feed/update/urn:li:activity:7346055157597528064?
2. July 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Preparing for Good Clinical Practice (GCP) inspections,https://www.linkedin.com/feed/update/urn:li:activity:7346084081207533570?
2. July 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Changing the sponsor of a therapeutic good,https://www.linkedin.com/feed/update/urn:li:activity:7346083577765261313?
2. July 2025,European Directorate for the Quality of Medicines & HealthCare EDQM,Guidance,Pharmeuropa 37.3 just released,https://www.linkedin.com/feed/update/urn:li:activity:7346082914004086784?
2. July 2025,European Medicines Agency,Guidance,Medicinal Product master data for better regulation and better health,https://www.linkedin.com/feed/update/urn:li:activity:7346081972554723329?
2. July 2025,MedTech Leading Voice,Video,The QA/RA Month That Was: June 2025,https://www.linkedin.com/feed/update/urn:li:activity:7346178552775532544?
1. July 2025,"NMPA-National Medical Products Administration, Peoples Republic of China",Guidance,Medical Device Industry Standard Information Sheet,https://www.linkedin.com/feed/update/urn:li:activity:7345720965512790018?
1. July 2025,European Medicines Agency,Regulation,Regulation (EC) No 1234/2008 as amended ('The Variations Regulation'),https://www.linkedin.com/feed/update/urn:li:activity:7345720242301509632?
1. July 2025,European Medicines Agency,Guidance,ICH E20 Adaptive Designs for Clinical Trials,https://www.linkedin.com/feed/update/urn:li:activity:7345719652443971584?
1. July 2025,European Medicines Agency,Information Sheet,Review of real-world data studies,https://www.linkedin.com/feed/update/urn:li:activity:7345719177002803202? 
1. July 2025,European Medicines Agency,Report,Real-world evidence framework to support EU regulatory decision-making,https://www.linkedin.com/feed/update/urn:li:activity:7345718149930991616?
 30. June 2025,MedTech Leading Voice,Roundup,Regulatory Roundup 30. June 2025,https://www.linkedin.com/feed/update/urn:li:activity:7345405781271359488?
 30. June 2025,Team-NB,Position Paper,Code of Conduct for Notified Bodies under Regulations (EU) 2017/745 and (EU) 2017/746,https://www.linkedin.com/feed/update/urn:li:activity:7345371736739078146?
 30. June 2025,Team-NB,Position Paper,Software classification under the IVDR V2,https://www.linkedin.com/feed/update/urn:li:activity:7345329303665930240? 
 30. June 2025,MedTech Leading Voice,Newsletter,EU AI Act,https://www.linkedin.com/feed/update/urn:li:activity:7345306735047262208?
 30. June 2025,European Commission,Guidance,EUDAMED Production Release 2.15.0,https://www.linkedin.com/feed/update/urn:li:activity:7345365726276251648? 
30. June 2025,ANVISA Brazil,Report,Clinical Research of Drugs and Biological Products,https://www.linkedin.com/feed/update/urn:li:activity:7343524329642467329?
30. June 2025,Egyptian Drug Authority,Guidance,Issuing a notification for import approval or a letter of lack of competence,
30. June 2025,European Commission,Status Overview,Overview of CABs/NBs at each stage of the designation process,https://www.linkedin.com/feed/update/urn:li:activity:7341848915182338053?
30. June 2025,European Commission,Regulation,(EU) 2021/2226 medical devices IFU may be provided in electronic form,https://www.linkedin.com/feed/update/urn:li:activity:7343986300032626688?
30. June 2025,European Medicines Agency,Guidance,Expert decision and opinion Clinical Evaluation Consultation Procedure (CECP),https://www.linkedin.com/feed/update/urn:li:activity:7343908377736998913?
30. June 2025,Health Canada,Guidance,New requirements for second language product monographs and package insert,
30. June 2025,Health Canada,Guidance,"Submission information for biologic drugs (Division 4, Schedule D)",https://www.linkedin.com/feed/update/urn:li:activity:7343548592986488833?
30. June 2025,"Health Products Regulatory Authority (HPRA), Ireland",Guidance,Parallel Imports of Human Medicines,
30. June 2025,"Health Sciences Authority (HSA), Singapore",Guidance,"Introducing ""SHARE"" - Your digital portal for Medical Devices",https://www.linkedin.com/feed/update/urn:li:activity:7343505906417983488? 
30. June 2025,International Council for Harmonisation,Guidance,ICH E20 Adaptive Designs for Clinical Trials,https://www.linkedin.com/feed/update/urn:li:activity:7343912240258932738?
30. June 2025,International Council for Harmonisation,Guidance,ICH M4Q(R2) Step 2 Presentation Now Available on the ICH Website,
30. June 2025,Medicines and Healthcare products Regulatory Agency,Collection,Airlock: the regulatory sandbox for AIaMD,https://www.linkedin.com/feed/update/urn:li:activity:7342854372608909313?
30. June 2025,Medicines and Healthcare products Regulatory Agency,Guidance,Introducing new medicines in the NHS in the UK pathway,https://www.linkedin.com/feed/update/urn:li:activity:7342864280775536640?
30. June 2025,Medicines and Healthcare products Regulatory Agency,Report,Business Plan 2025-2026,
30. June 2025,Medicines and Healthcare products Regulatory Agency,Report,MHRA Corporate Plan 2023-26,
30. June 2025,Medicines and Healthcare products Regulatory Agency,Collection,Medicines: clinical trials hub,
30. June 2025,"NMPA-National Medical Products Administration, Peoples Republic of China",Guidance,In Vitro Diagnostic Reagents Exempted from Clinical Trials (2025) (No. 23 [2025]),https://www.linkedin.com/feed/update/urn:li:activity:7343197289072517121?
30. June 2025,Swissmedic,Forms,Swissmedic Forms for June 2025,
30. June 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,"Application to import, supply, or export, non-compliant medical devices",https://www.linkedin.com/feed/update/urn:li:activity:7343179383840366592?
30. June 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,"Determining if your product is a cosmetic, a biological or a blood component",https://www.linkedin.com/feed/update/urn:li:activity:7344244654877425665?
30. June 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,Medical devices exempt from PFAS ban,https://www.linkedin.com/feed/update/urn:li:activity:7344243141807357958?
30. June 2025,USA Food & Drug Administration FDA,Guidance,Q1 Stability Testing of Drug Substances and Drug Products,https://www.linkedin.com/feed/update/urn:li:activity:7343174428660232193?
30. June 2025,USA Food & Drug Administration FDA,Guidance,Early Lyme Disease as Manifested by Erythema Migrans,https://www.linkedin.com/feed/update/urn:li:activity:7343910438222409729?
30. June 2025,USA Food & Drug Administration FDA,Guidance,Conducting Remote Regulatory Assessments Questions and Answers,https://www.linkedin.com/feed/update/urn:li:activity:7344257468845240322?
30. June 2025,USA Food & Drug Administration FDA,Guidance,Unique Device Identifier Requirements for Combination Products,https://www.linkedin.com/feed/update/urn:li:activity:7344257085473275906?
30. June 2025,USA Food & Drug Administration FDA,Guidance,Cybersecurity in Medical Devices: Quality System Considerations,https://www.linkedin.com/feed/update/urn:li:activity:7344256677514297344?
30. June 2025,USA Food & Drug Administration FDA,Guidance,Antibacterial Therapies for Patients With an Unmet Medical Need Q&A,https://www.linkedin.com/feed/update/urn:li:activity:7344256310558777345?
30. June 2025,USA Food & Drug Administration FDA,Whitepaper,Securing Technology and Equipment Used for Medical Product Manufacturing,https://www.linkedin.com/feed/update/urn:li:activity:7344283687003324416?
28. June 2025,MedTech Leading Voice,Video,The QA/RA Week That Was 28. June 2025,https://www.linkedin.com/feed/update/urn:li:activity:7344682532711399424?
27. June 2025,MedTech Leading Voice,Roundup,Video Preview Regulatory Roundup 30. June 2025,https://www.linkedin.com/feed/update/urn:li:activity:7344410176369664001?
27. June 2025,"Therapeutic Goods Administration (TGA), Australia",Guidance,"Determining if your product is a cosmetic, a biological or a blood component",https://www.linkedin.com/feed/update/urn:li:activity:7344244654877425665?
