Date,MedTech Leading Voice,Category,Title,Link
17. March 2024,MedTech Leading Voice,Newsletter,IMDRF: 25th Session of the International Medical Device Regulators Forum,https://www.linkedin.com/pulse/imdrf-25th-session-international-medical-device-regulators-sean-smith-byq9e
11. March 2024,MedTech Leading Voice,Newsletter,First Implementing Act for EU Joint Health Technology Assessment,https://www.linkedin.com/pulse/first-implementing-act-eu-joint-health-technology-assessment-smith-trpke
04. March 2024,MedTech Leading Voice,Newsletter,No Easy Answers: EU MedTech Innovation,https://www.linkedin.com/pulse/easy-answers-eu-medtech-innovation-sean-smith-x7ize
25. February 2024,MedTech Leading Voice,Newsletter,SaMD Cybersecurity Threat Modelling: Understanding the FDA and MDR Regulations,https://www.linkedin.com/pulse/samd-cybersecurity-threat-modelling-understanding-fda-sean-smith-ibrie
22. February 2024,MedTech Leading Voice,Newsletter,Special Issue: 25 Burning FDA eSTAR 5.0 Questions; Answers,https://www.linkedin.com/pulse/special-issue-25-burning-fda-estar-50-questions-answers-sean-smith-ecxge
19. February 2024,MedTech Leading Voice,Newsletter,New QMSR Masterclass Reveals What You Need to Know,https://www.linkedin.com/pulse/new-qmsr-masterclass-reveals-what-you-need-know-sean-smith-ofl5e
11. February 2024,MedTech Leading Voice,Newsletter,PMCF Masterclass: Elevating Post-Market Clinical Follow-Up,https://www.linkedin.com/pulse/pmcf-masterclass-elevating-post-market-clinical-follow-up-sean-smith-fotke
04. February 2024,MedTech Leading Voice,Newsletter,Understanding the New QMSR and ISO 13485,https://www.linkedin.com/pulse/understanding-new-qsmr-iso-13485-sean-smith-9zqje
28. January 2024,MedTech Leading Voice,Newsletter,Putting It All Together: 2024 MedTech Regulatory Global Pathways,https://www.linkedin.com/pulse/putting-all-together-2024-medtech-regulatory-global-pathways-smith-wz8fe
27. January 2024,MedTech Leading Voice,Newsletter,2024 MedTech Regulatory Pathways Virtual Summit,https://www.linkedin.com/pulse/2024-medtech-regulatory-pathways-virtual-summit-sean-smith-0uyoe
22. January 2024,MedTech Leading Voice,Newsletter,MLV Winter Webinar Madness: 2 Must-Attend Expert Workshops,https://www.linkedin.com/pulse/mlv-winter-webinar-madness-2-must-attend-expert-workshops-sean-smith-9lgee
14. January 2024,MedTech Leading Voice,Newsletter,Are You Ready for FDA's eSTAR 5.0?,https://www.linkedin.com/pulse/you-ready-fdas-estar-50-sean-smith-zexoe
07. January 2024,MedTech Leading Voice,Newsletter,New Year,https://www.linkedin.com/pulse/new-yearnew-you-2024-sean-smith-xo1re
31. December 2023,MedTech Leading Voice,Newsletter,MedTech Leading Voice Year-End Issue 2023,https://www.linkedin.com/pulse/medtech-leading-voice-year-end-issue-2023-sean-smith-nnz6e
24. December 2023,MedTech Leading Voice,Newsletter,What is the Lifetime of a Medical Device?,https://www.linkedin.com/pulse/what-lifetime-medical-device-sean-smith-xvoje
18. December 2023,MedTech Leading Voice,Newsletter,How to Demonstrate Equivalence of Medical Devices,https://www.linkedin.com/pulse/how-demonstrate-equivalence-medical-devices-sean-smith-f5tve
10. December 2023,MedTech Leading Voice,Newsletter,8 Important Implications for MedTech of the New EU AI Act,https://www.linkedin.com/pulse/8-important-implications-medtech-new-eu-ai-act-sean-smith-cwvue
03. December 2023,MedTech Leading Voice,Newsletter,Process Validation in Medical Devices,https://www.linkedin.com/pulse/process-validation-medical-devices-sean-smith-kzhve
26. November 2023,MedTech Leading Voice,Newsletter,The LEGO MRI Scanner Thinks Outside,https://www.linkedin.com/pulse/lego-mri-scanner-thinks-outside-medtech-box-sean-smith-tdnve
19. November 2023,MedTech Leading Voice,Newsletter,A Glimpse Inside the TEAM-PRRC Second Annual Summit,https://www.linkedin.com/pulse/glimpse-inside-team-prrc-second-annual-summit-sean-smith-yjthe
12. November 2023,MedTech Leading Voice,Newsletter,Let's Talk About Medical Device Risk Regulation,https://www.linkedin.com/pulse/lets-talk-medical-device-risk-regulation-sean-smith-pyeqe
05. November 2023,MedTech Leading Voice,Newsletter,7 Things You Need to Know About ISO 13485,https://www.linkedin.com/pulse/7-things-you-need-know-iso-13485-sean-smith-8qege
29. October 2023,MedTech Leading Voice,Newsletter,TOUGH QUESTIONS: Mastering Post-Market Surveillance Super Roundtable Recap,https://www.linkedin.com/pulse/tough-questions-mastering-post-market-surveillance-super-sean-smith-cpexe
26. October 2023,MedTech Leading Voice,Newsletter,Update: 800+ Registered for MLV Post-Market Surveillance Super Roundtable,https://www.linkedin.com/pulse/update-800-registered-mlv-post-market-surveillance-super-sean-smith-cluve
22. October 2023,MedTech Leading Voice,Newsletter,What You Need to Know About MDSW: Medical Device Software,https://www.linkedin.com/pulse/what-you-need-know-mdsw-medical-device-software-sean-smith
16. October 2023,MedTech Leading Voice,Newsletter,Qserve MedTech Conference: Reporting from Amsterdam,https://www.linkedin.com/pulse/qserve-medtech-conference-reporting-from-amsterdam-sean-smith
08. October 2023,MedTech Leading Voice,Newsletter,RAPS Convergence 2023: Reporting from Montreal,https://www.linkedin.com/pulse/raps-convergence-2023-reporting-from-montreal-sean-smith
29. September 2023,MedTech Leading Voice,Newsletter,MedTech Conference Season in Full-Swing,https://www.linkedin.com/pulse/medtech-conference-season-full-swing-sean-smith
23. September 2023,MedTech Leading Voice,Newsletter,Post-Market Surveillance and Vigilance,https://www.linkedin.com/pulse/post-market-surveillance-vigilance-sean-smith
21. September 2023,MedTech Leading Voice,Newsletter,Just Published: Mastering Post-Market Surveillance eBook and Mini-Course,https://www.linkedin.com/pulse/just-published-mastering-post-market-surveillance-ebook-sean-smith
18. September 2023,MedTech Leading Voice,Newsletter,MLV Issue XV: ISO 10993-1 Biocompatibility Information,https://www.linkedin.com/pulse/mlv-issue-xv-iso-10993-1-biocompatibility-information-sean-smith
11. September 2023,MedTech Leading Voice,Newsletter,Three Fresh Takes on Clinical Evaluation Reports,https://www.linkedin.com/pulse/three-free-takes-clinical-evaluation-reports-sean-smith
02. September 2023,MedTech Leading Voice,Newsletter,US FDA Guidance on Augmented Reality and Virtual Reality,https://www.linkedin.com/pulse/us-fda-guidance-augmented-reality-virtual-sean-smith
26. August 2023,MedTech Leading Voice,Newsletter,Understanding MedTech Design Controls,https://www.linkedin.com/pulse/understanding-medtech-design-controls-sean-smith
18. August 2023,MedTech Leading Voice,Newsletter,Special Update on SaMD and MedTech Cybersecurity,https://www.linkedin.com/pulse/special-update-samd-medtech-cybersecurity-sean-smith
12. August 2023,MedTech Leading Voice,Newsletter,Spotlight On Global Regulatory Pathways for Medical Devices,https://www.linkedin.com/pulse/spotlight-global-regulatory-pathways-medical-devices-sean-smith
04. August 2023,MedTech Leading Voice,Newsletter,MedTech Standards: A Closer Look,https://www.linkedin.com/pulse/medtech-standards-closer-look-sean-smith
28. July 2023,MedTech Leading Voice,Newsletter,"AI, SaMD, and Digital Health Technologies",https://www.linkedin.com/pulse/ai-samd-digital-health-technologies-sean-smith
21. July 2023,MedTech Leading Voice,Newsletter,Issue 17: Exciting MLV Milestones,https://www.linkedin.com/pulse/issue-17-exciting-mlv-milestones-sean-smith
14. July 2023,MedTech Leading Voice,Newsletter,13 Essential MedTech Updates,https://www.linkedin.com/pulse/13-essential-medtech-updates-sean-smith
07. July 2023,MedTech Leading Voice,Newsletter,EU Commission Published Summaries of 17 Harmonized EU Standards for MDR and 10 for IVDR,https://www.linkedin.com/pulse/eu-commission-published-summaries-17-harmonized-standards-sean-smith
29. June 2023,MedTech Leading Voice,Newsletter,Lost in Translation: Milan Edition,https://www.linkedin.com/pulse/lost-translation-milan-edition-sean-smith
22. June 2023,MedTech Leading Voice,Newsletter,Regulating AI: What Will the New EU AI Act Mean for MedTech?,https://www.linkedin.com/pulse/regulating-ai-what-new-eu-act-mean-medtech-sean-smith
15. June 2023,MedTech Leading Voice,Newsletter,Balancing Leanness and Flexibility in Your QMS,https://www.linkedin.com/pulse/balancing-leanness-flexibility-your-qms-sean-smith
07. June 2023,MedTech Leading Voice,Newsletter,Making the Most Out of Lean MedTech Quality Resources,https://www.linkedin.com/pulse/making-most-out-lean-medtech-quality-resources-sean-smith
31. May 2023,MedTech Leading Voice,Newsletter,Pre-Summer Edition: Rome Wasn't Built in a Day,https://www.linkedin.com/pulse/pre-summer-edition-rome-wasnt-built-day-sean-smith
24. May 2023,MedTech Leading Voice,Newsletter,Fast Tracking Innovative MedTech Products in the UK,https://www.linkedin.com/pulse/fast-tracking-innovative-medtech-products-uk-sean-smith
17. May 2023,MedTech Leading Voice,Newsletter,Preparing for Medical Device Audits,https://www.linkedin.com/pulse/preparing-medical-device-audits-sean-smith
10. May 2023,MedTech Leading Voice,Newsletter,"Decentralized Clinical Trials, Recalls, and Risk",https://www.linkedin.com/pulse/decentralized-clinical-trials-recalls-risk-sean-smith
03. May 2023,MedTech Leading Voice,Newsletter,What About Orphan Medical Devices?,https://www.linkedin.com/pulse/what-orphan-medical-devices-sean-smith
26. April 2023,MedTech Leading Voice,Newsletter,Some Common Sense MedTech Advice,https://www.linkedin.com/pulse/some-common-sense-medtech-advice-sean-smith
18. April 2023,MedTech Leading Voice,Newsletter,Post-Market Surveillance: An MLV Special Edition,https://www.linkedin.com/pulse/post-market-surveillance-mlv-special-edition-sean-smith
11. April 2023,MedTech Leading Voice,Newsletter,AI; Cybersecurity for MedTech,https://www.linkedin.com/pulse/ai-cybersecurity-medtech-sean-smith
03. April 2023,MedTech Leading Voice,Newsletter,A Skimmable Weekly Digest of the Best of MedTech on LinkedIn,https://www.linkedin.com/pulse/skimmable-weekly-digest-best-medtech-linkedin-sean-smith
27. March 2023,MedTech Leading Voice,Newsletter,Quality Goes Viral,https://www.linkedin.com/pulse/quality-goes-viral-sean-smith
20. March 2023,MedTech Leading Voice,Newsletter,Inaugural Issue of MLV: In Real Life,https://www.linkedin.com/pulse/inaugural-issue-mlv-real-life-sean-smith
15. March 2023,MedTech Leading Voice,Newsletter,Help Launch MedTech Leading Voice,https://www.linkedin.com/pulse/help-launch-medtech-leading-voice-sean-smith
09. March 2023,MedTech Leading Voice,Newsletter,Only the Best of MedTech on LinkedIn,https://www.linkedin.com/pulse/only-best-medtech-linkedin-sean-smith
03. March 2023,MedTech Leading Voice,Newsletter,Launching MedTech Leading Voice (MLV) - Inaugural Issue - 20 March,https://www.linkedin.com/pulse/launching-medtech-leading-voice-sean-smith



